Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Clare Chang,2013-07-07 03:36:13,5,0,"I like this place a lot,and the little forest around.",no,,view review
Daniel Jacobson,2015-08-05 07:41:36,5,0,Got my shuin here. I felt relaxed walking around this shrine. Small cool stream running through the ground.,no,,view review
Susan Zentay,2016-05-18 13:11:08,5,0,"A beautiful place worth visiting, with the two shrines, and beautiful grounds with a running creek and traditional style bridges crossing the creek. We were lucky to be there on a Sunday when they had a huge market running. A great experience",no,,view review
KYOKO MACHIDA,2016-06-06 02:42:50,5,0,The atmosphere is tranquil here.,no,,view review
Wayne Parker,2016-07-12 07:24:32,5,0,"I have no clue what the guy said, not very English accommodating, but you get the picture. Very big, very old, very beautiful!",no,,view review
Trans-word plus TGM,2016-07-19 10:38:42,5,0,"This one is the oldest Shinto shrine in the ancient city.     この古い町（京都）で最も古い神道の神社です    Since prehistoric times it has preserved and transmit the legends relating to the birth of the shrine deity.    先史時代から保存されていて神社の神の誕生に関する伝説を伝えている場所です  It is one of the oldest Shinto shrines in Japan and is one of the seventeen Historic Monuments of Ancient Kyoto which have been designated by UNESCO as a World Heritage Site. Its real name is Kamowake Ikazuchi Shrine. 賀茂別雷神社 Wildlife in Kamigamo Shrine

●   Little gutter where you can catch clay fish : The Omonoi stream leads into this little gutter as you go farther into the forest. That’s where you can catch some clay fish!  この小さな水路へとつながっていて、ここでザリガニを捕まえて遊ぶことができます  The forest around here is also very nice
( Trans-word+ : TGM Kyoto Guide )",no,,view review
MDJ CTT,2016-08-04 09:40:17,4,2,Nice place to travel especially for the first or third weekend of every month since there will be a local market.,no,,view review
Andrew Robbins,2016-08-06 14:30:55,3,0,"Though it's full of history, some of the staff are also full of themselves.",no,,view review
R S,2016-10-20 04:21:00,5,1,This holy shrine designated UNESCO world heritage is popular place for a wedding ceremony. Many celebrities have held their wedding there. Free entry! Far but worth a visit.,no,,view review
JaeHee Park,2016-10-29 04:24:36,4,1,"The UNESCO heritage shrine. The god is power of thunder and erase evil.














",yes,,view review
Xander,2017-01-02 17:18:36,5,1,Beautiful shrine! I lived on the other side of the parking lot and had a wonderful view of the southend of this location.  Wonderful little small trails take you up a hill that provides a great view of the neighborhood.,no,,view review
そshao,2017-11-26 02:09:34,5,0,"Handy works market very nice



",yes,,view review
Dav Vad,2018-03-21 04:41:33,5,0,"Peaceful place, not too many people.",no,,view review
Adrian J. Lee,2018-03-31 05:41:14,4,0,Quite good,no,,view review
戰國,2018-04-15 02:35:37,4,0,Nice,no,,view review
Garima Maheshwari,2018-05-09 09:29:11,5,0,Attended a great flea market on the temple grounds and came on a lucky day where I saw a wedding ceremony at the temple. A tranquil place.,no,,view review
赤い鹿,2018-06-02 09:54:56,5,2,"Kyoto. Something so mysterious about this city.
There is an aura of the divinity here.
Where does it come from ?
It's people.
Life in this city is still living accorning to ancient traditions that
make nonsense to me.  However, thanks to this tradition we can
enjoy the things about KYOTO.

",yes,,view review
VT,2018-10-16 13:49:52,5,2,"It’s a very peaceful Shinto shrine with tiny white rocks layering most of its paths. Most tourists won’t go here. There’s a small stream running across the area, making lovely sounds and its tranquil. People are really kind. We really feel the essence of Japanese culture here.

",yes,,view review
Hambalee Mahamu,2018-10-21 09:02:54,4,0,"Nice sightseeing, nice atmosphere. I came here for participate Kasagake Shinji festival. It will be held on 21th October.",no,,view review
SAILING WILSON,2018-12-19 00:37:41,2,0,Nice place to visit,no,,view review
Miki Matsubara,2019-01-18 00:59:00,5,0,"I visited here on 16th Jan 2019 to see “Musha Sinji”, one of ceremonies in winter.
Kamigamo shrine is one of the oldest shrine in Kyoto and has divine beauty and dignity.
The river flows throughout the precinct, which can make us feel refreshing.











",yes,,view review
Julie Chiu,2019-02-13 02:25:59,5,0,Was an amazing place,no,,view review
