Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
鄭芬,2016-01-03 21:05:01,4,0," The shrine is small, just passing by on foot, just with the light and shadow at dusk, I think it is beautiful!

",no,Chinese,view review
Trans-word plus TGM,2016-10-09 13:33:17,5,0," ** Fukuou Shrine

Empress Hanko, the consort of Emperor Koko and the mother of Emperor Uda, is enshrined here. Since Emperor Uda opened Ninna-ji Temple, he is considered to be the guardian deity of Ninna-ji Temple.

There is a grave of Empress Hanshi who is mother to Emperor Uda. Since Emperor Uda is the one who opened Ninnaji this place is believed to offer protection to Ninnaji.

( Trans-word+ : TGM Kyoto Guide )

",no,Japanese,view review
新開地,2017-04-28 13:41:38,4,0," Actually visiting for the first time. 2017.4.28

",no,Japanese,view review
kailas k,2017-07-26 08:02:54,4,0," If you want to go to Sanbi by bus number 8 and go to Ninnaji, you must get off here. A cute little gentleman...

",yes,Korean,view review
草壁恵一,2017-10-24 02:53:13,5,0,nan,no,,view review
Ken Shiba,2017-12-05 12:41:09,3,1," The autumn festival is fun 🎵 There are night stalls, stalls, and portable shrines. I'm usually quiet.

",no,Japanese,view review
三好長持,2018-03-03 04:17:11,4,0," It is an important cultural property in an unexpected place. Located on the west side of Ninnaji Temple

",no,Japanese,view review
西澤正治,2018-04-10 02:55:13,5,0,"

",yes,,view review
Anita Lee,2018-04-25 08:44:08,4,0," Tranquil shrine by the main road

",yes,Chinese,view review
maedaaa,2018-04-26 05:23:39,5,0,nan,no,,view review
Mia Bensky,2018-05-01 23:21:15,3,0,"I happened to change buses at Fukuji and saw the shrine, so I decided to have a quick look. I know nothing about it; it's quite small, but very nice and calming.",no,,view review
まっちゃん,2018-07-09 12:18:13,5,1," Originally called Fukagawa Shrine, it is said to be an old shrine in Shikinai. Empress Hanko, the mother of Emperor Uda, the founder of Ninna-ji Temple, is enshrined here. Empress Banzi was said to have had a friendly personality. In front of the shrine is an intersection with a complicated traffic flow. Today as well, he keeps the region safe while overlooking the motorcades under his feet.

",yes,Japanese,view review
Kazuhisa Teramura,2018-07-11 15:00:57,5,0," It's a small local company, but it's a history ant!

",no,Japanese,view review
Tokiwa,2018-07-28 05:43:07,5,0,"



",yes,,view review
イオリィ,2018-10-03 12:19:21,4,0,nan,no,,view review
albireo608 a,2018-11-06 20:12:53,5,0," The main shrine, worship hall, and torii are designated as important cultural properties.

",no,Japanese,view review
Sumiko Inoue,2018-12-11 08:16:44,5,0," When I went to Kaohsiung, I changed buses here and came back to visit.

",no,Japanese,view review
Yukio Nakamura,2018-12-22 14:33:23,3,0,nan,no,,view review
平木志乃,2019-01-07 11:53:41,5,0,nan,no,,view review
河原直司,2019-02-11 04:08:36,3,0,"

",yes,,view review
otake206,2019-04-13 02:57:55,3,0,nan,no,,view review
M K,2019-04-14 01:53:51,3,0,nan,no,,view review
masajii,2019-04-16 07:25:36,3,0,nan,no,,view review
はりまうHarimau,2019-04-21 00:24:34,5,0,nan,no,,view review
川路渉,2019-04-23 12:00:50,3,0,nan,no,,view review
Jehos. Morita,2019-05-03 04:13:19,4,0," The intersection here has a lot of traffic from long ago, but the road is still narrow, so there is a lot of traffic.

",no,Japanese,view review
西浦あつみ,2019-05-04 02:48:04,4,0,nan,no,,view review
yuzuru shibayama,2019-05-05 08:26:27,4,0,nan,no,,view review
artful lodger,2019-06-01 04:50:05,4,0,nan,no,,view review
Oji Natsu,2019-06-04 10:30:23,4,0,nan,no,,view review
kiseon kwon,2019-06-20 14:54:29,5,2," A small gentleman just passing by and looking out of the corner of his eye
There are buildings like this in the middle of the road, so it feels like Kyoto.

",no,Korean,view review
Hiro dfhiro,2019-06-30 16:00:15,3,0,nan,no,,view review
Abdul Rahim,2019-07-03 05:24:25,5,0,nan,no,,view review
山口廣文,2019-07-07 03:27:05,3,1," The shrine isn't big, but it's beautifully arranged precincts because it enshrines the consort of Emperor Koko. Unfortunately, we cannot worship the famous Narutaki Whetstone.

",no,Japanese,view review
Makoto N,2019-07-12 08:46:03,5,0," Ujigami. thank you always.

",no,Japanese,view review
Marcelo Muñiz,2019-07-28 06:57:45,4,0,nan,no,,view review
オープンカーをこよなく愛する男,2019-08-03 02:52:23,4,0," Visited on July 28, 2019
I received a goshuin at the shrine office.

",yes,Japanese,view review
ship ship (shipmt),2019-08-20 05:51:47,4,0,nan,no,,view review
j west,2019-08-20 08:05:45,4,2," Rather good, the most pleasant being the surroundings

",no,French,view review
中村勝,2019-08-24 05:19:58,5,3," My friend's house is nearby, so I'm visiting after taking a walk❗
I still have a small child, but they are doing their best to climb the stairs and put their hands together and say ""unyaunya"" just like us✨

It's not that big of a precinct, but it's a community-based shrine, and it's beautifully maintained and maintained.
It's a very pleasant and refreshing shrine (* ´ ▽ ` *)ﾉ

However, the road is prone to traffic accidents, so please drive carefully and come visit ＼(^-^)／
Please (*´∀｀)

",no,Japanese,view review
勝亦一浩,2019-09-08 13:23:20,4,0,nan,no,,view review
澤田忍,2019-09-13 12:05:22,3,0,nan,no,,view review
報恩寺鳴虎,2019-09-16 18:51:42,3,0," It is located at the intersection corner along the Kinukake road. When I went there, a woman and a small child were weeding. He left shortly after, but somehow I felt relaxed.

",yes,Japanese,view review
華満らん,2019-09-18 14:01:30,3,0,nan,no,,view review
塚田久美子,2019-10-01 05:52:48,3,0,nan,no,,view review
通りすがりの餅,2019-10-24 09:03:35,5,0," Because it is in good shape.
There is also a taiko drumming activity here, which is wonderful.

",no,Japanese,view review
かずひろたかお,2019-10-25 12:53:40,4,0," There is no goshuin near other shrines

",no,Japanese,view review
Nayheli Ramirez,2019-10-30 13:28:18,5,0," Super nice, definitely walk comfortable to walk

",no,Spanish,view review
deep space 2045,2019-11-03 06:41:24,2,0," nothing to say about this

",no,Japanese,view review
天音 巫弥アマネ フミ,2019-11-03 19:06:26,3,0,nan,no,,view review
eiichi miyamoto,2019-11-06 12:00:34,5,0,nan,no,,view review
草抜き侍,2019-11-06 13:27:08,5,0," It is a shrine for mothers who protect their children. When my child was visiting the shrine, it rained heavily, and even though it was along the road, I couldn't hear the sound of the cars at all. After finishing, the sun came out and it seemed like I was blessed, so I had a very mysterious and grateful experience.

",no,Japanese,view review
Langouste stein,2019-11-10 06:40:05,4,0,Well worth visiting.,no,,view review
J “Rony” wedge,2019-11-12 08:07:28,5,0,nan,no,,view review
近澤秀安,2019-11-15 12:32:47,4,0,nan,no,,view review
Syharn,2019-11-16 08:44:49,4,1," Going to Jinguo Temple, a temple that passes by when you get off from No. 10 and transfer to No. 8~

The No. 8 bus is a little hard to find, but you can see it when you cross the road on the side of Prince Fu!

",yes,Chinese,view review
吉岡輝幸,2019-11-26 00:02:39,4,0," It was the neighborhood ujigami. It was on the school road of elementary school, and I went through the precincts every day.

",no,Japanese,view review
san NN,2019-12-09 08:13:50,3,1," Guardian shrine of Ninna-ji Temple,
It enshrines Princess Hanko, the mother of Emperor Uda.

",yes,Japanese,view review
コロナ1号2号,2019-12-17 06:03:05,3,0," The transportation is a little bad, and the shrine is small.

",no,Japanese,view review
I P,2019-12-17 19:21:58,5,0," peace

",no,Japanese,view review
小森久美,2020-01-03 07:53:25,4,0," I was able to visit very quietly.

",no,Japanese,view review
Lucas Kleng,2020-01-06 20:22:38,4,0,nan,no,,view review
佐野誠治,2020-01-13 22:42:25,5,0,nan,no,,view review
Tetsuya Yoneda,2020-02-26 10:18:38,5,0,nan,no,,view review
Masahiro Yamasaki,2020-03-29 14:54:44,3,0,nan,no,,view review
Yonton Kormar,2020-06-18 05:10:58,3,1," A small shrine, when you arrive at Ninnaji Temple, you can stop by, it's quite quiet!

",yes,Chinese,view review
寺石直義,2020-06-27 12:53:41,4,0," It's a local shrine.

",no,Japanese,view review
ちいジャグラー大好き,2020-07-23 07:19:18,3,0,nan,no,,view review
笹,2020-08-04 07:06:48,5,0," Located on the corner of the Fukuoji intersection. Five roads intersect, so be careful when passing.

",yes,Japanese,view review
都遊免,2020-08-08 20:44:45,4,0," The priest was very kind at the historical shrine.

",no,Japanese,view review
おだ天狗,2020-09-16 22:20:35,3,2," Fukuoji Shrine is a Shinto shrine located in Utano Fukuojicho, Ukyo Ward, Kyoto City, Kyoto Prefecture.

Empress Hanko, the consort of Emperor Koko and the mother of Emperor Uda, is enshrined here. Since Emperor Uda opened Ninna-ji Temple, he is considered to be the guardian deity of Ninna-ji Temple.

According to the origin, the predecessor was Fukagawa Shrine, whose name can be seen in the Engishiki, but it was destroyed by fire in the Onin War (1468). After that, in 1644, Iemitsu Tokugawa and Cloistered Imperial Prince Kakushin built a shrine, and it is said that the Empress was enshrined because the tomb of Princess Hanko was nearby, and it became Fukuoji Shrine.

It is said that the name of the shrine is derived from the fact that Queen Hanko gave birth to many princes and princesses.

",no,Japanese,view review
R I,2020-09-28 05:33:34,3,0,nan,no,,view review
川上富男,2020-11-13 05:17:34,3,0," A shrine on the corner of Fukuoji intersection, the second west of Ninnaji Niomon. The guardian deity of Ninna-ji Temple, Empress Hanshi, the wife of the 58th Emperor Koko and the mother of Emperor Uda, is enshrined as a deity.

",yes,Japanese,view review
大谷秀行,2020-12-27 15:44:24,3,0," A small but well-maintained shrine near Ninna-ji Temple. When I was a child, I went to several festivals here.

",no,Japanese,view review
おひろ,2021-03-09 21:43:06,4,0," We talked politely.
I also wrote a goshuin.

",no,Japanese,view review
出張多し多忙中,2021-04-24 13:06:37,5,0,nan,no,,view review
けいじさとう,2021-07-04 23:43:45,4,0," It is an easy-to-understand place facing Shuzan Kaido.
The flat frame of ⛩️ has changed. Also the frogs are also wonderful.

",no,Japanese,view review
Tomohiko Jimbo,2021-07-15 13:14:32,5,4," An old shrine that enshrines Shikinaironsha. There is also a connection with the enshrined deity near Ninna-ji Temple
You can see Kyoto's best Narutaki whetstone

",yes,Japanese,view review
平山有一,2021-08-28 21:42:08,4,0,nan,no,,view review
内田忠彦,2021-10-25 21:26:05,4,0,nan,no,,view review
白ベイ,2021-10-29 11:23:10,4,7," Fukuoji Shrine is located at the northwest corner of the Fukuoji intersection.
The shrine faces an irregular intersection with heavy traffic, so be careful when taking pictures of the torii. Also, there are guards near the traffic lights to protect pedestrians, so if you try to take a picture of the torii from the opposite lane, the guards will be reflected.
There is a shrine office on the right side of the main shrine in the precincts, and it is shaped like an intercom for those who need it.

Fukuoji Shrine is the concubine of the 58th Emperor Koko and the 59th Emperor Uda [reigned from Ninna (887) 3 years to Kanpei (897) 9 years; Emperor in the Heian period. A shrine that enshrines Empress Banko, the mother of ].
Since Emperor Uda opened Ninna-ji Temple, he is considered to be the guardian deity of Ninna-ji Temple.
As a subordinate shrine, there is Okora Shrine (Matsuo Daimyojin) that enshrines Okokojin.

The 58th Emperor Koko [Reigned from February 4, 884 to August 26, 887, Emperor of the Heian period. ]

59th Emperor Uda [Reigned from Ninna (887) 3rd year to Kanpei (897) 9th year Emperor of the Heian period. He was an emperor who was the ancestor of the Uda-Genji clan represented by the later Sasaki clan. ]

Empress Banzi [Hanshi Kogo Tencho (883) 10 - Shotai (900) 3 years Imperial family of the Heian period, also known as Toingo]

",yes,Japanese,view review
古北直子,2021-11-18 11:40:52,2,0,nan,no,,view review
man sato,2021-12-16 07:01:52,3,0," A very compact shrine
You can understand how a shrine should be in a simple way.

",no,Japanese,view review
