Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Wilberto Quintana Lopéz,2016-10-03 09:34:18,5,1,"Obaku Zen school headquarters. Nice architecture, historical, important locally.",no,,view review
Scooter Campbell,2017-07-29 09:17:05,4,0,"A really nice temple (the head temple for the Obaku Zen school). If you are visiting the temple, the gate is on the south side of the area, not on top of the hill. It's a straight walk east from the Obaku Station.",no,,view review
Tdogg,2018-04-29 05:40:41,3,0,"Very chinesy place. Not really Japanese type temple, but it was interesting.",no,,view review
Miroslav Horký,2018-07-30 02:34:51,5,0,"The place which is worth of visiting. Historical site for budhism in Japan. Very nice, quiet and peacful environment. Entrance fee 500 yen for adults. Totally recommended to visit.




",yes,,view review
mamehana豆はな,2018-11-12 08:43:36,4,4," We ate fucha cuisine introduced from China by Ingen Zenji, the founder of Zen and Obaku sects. Make a reservation by phone in advance, in the hall room in the precincts. Rather than meat and fish-free Japanese Shojin cuisine, sesame and vegetable oil are used, and there is quite a bit of volume. Fucha bento was 3240 yen, but I was full. Only at Manpuku Temple lol

",yes,Japanese,view review
Gilang Rangga P,2019-05-19 14:01:10,5,0,"A lovepy temple in a very quiet town.
",yes,,view review
星野浩,2019-06-26 01:04:18,5,0,"Huge temple. You can try ""Zazen"" or eat ""Shojin"" dishes.






",yes,,view review
Sahir A Ali,2019-07-06 06:12:56,5,0,Awesome,no,,view review
Che Japs,2019-09-01 05:59:25,5,0,"Good temple









",yes,,view review
Ze'ev Erlich,2019-10-20 12:47:55,5,1,"A beautiful complex of temples and traditional houses. Best place to enjoy zen cuisine.









",yes,,view review
MC Angio,2019-11-15 14:19:25,5,0,"At the doors of Kyoto you will find this impressive area with many Shrines and temples all within the same complex. The site is very nice and Ideal to escape the Kyoto crowds. Just a stroll from Obakusan Jr Station, it can be combined with a daytrip to the nearby Uji, where you can learn about and taste excellent matcha tea and derivated.


",yes,,view review
Salsabilla Nur Feranti,2020-01-02 11:11:59,5,0,"Under renovation
",yes,,view review
Hiroshin takumi【ひろたく】,2020-02-06 10:08:43,5,4,"Have you ever had vegan cuisine in Buddhism temple?
If not,let’s try here at Manpukiji temple.
This temple offers such a lovely vegan cuisine based on Zen Buddhism . You can chose either course menu or Bento style.
Since long time ago,Buddhist monks ascetic training here have created a wide variety of Zen-added dishes .
The dishes that you can taste here come from the exploration.
If you’d like have the lunch,you first of all have to make a reservation.
At least they receive a reservation with  more than two pax.

The attractive points of this temple is not only that cuisine,but beautiful landscapes in that area.
This temple was founded by a Chinese Buddhist monk in 17th century,so composition and style of buildings are very influenced by Chinese Buddhism.you may feel a little bit different atmosphere from typical Japanese temple.






















",yes,,view review
Singh V,2020-02-22 00:01:10,4,0,Peaceful,no,,view review
Justin Benko,2020-05-17 08:38:25,5,0,"Done in a chinese style, this is a really pretty temple in Uji-Shi",no,,view review
河内旅人,2020-11-23 01:18:28,5,1," Manpukuji is a temple that I have long wanted to visit. A small main gate for a famous place. However, the inside of the gate is a magnificent site, a temple, a building style beauty unique to Zen Buddhism, more majestic than you can imagine. You can also visit it, but it has not been turned into a tourist attraction. Quiet with few people. Most of the buildings are usually made of zelkova, cypress or pine, but is Daiohoden made of ironwood? ""It's made of teak wood."" ""Surprise!"" The interior of the building was full of decorative beauty in Chinese style colors and shapes, including a large cloth bag. Finally, I recited the Heart Sutra and left the temple.

",yes,Japanese,view review
Anthony Matthews,2020-12-15 03:36:40,5,0,"The grounds here are quite large, a nice temple to visit that is not overcrowded",no,,view review
みねやん,2020-12-19 08:35:46,5,2," I visited without any knowledge in mid-December when the autumn leaves were over.
From the main gate, it feels like a mix of China, not Japanese style. Historically, it was founded by Ingen Zenji who came from Fujian Province during the Edo period, so I understand the reason for the Chinese style.
All of them are important cultural properties of the country, but the doors are not closed, and the atmosphere is as it is, but the gardens and passages are really beautifully maintained and comfortable.

It is full of highlights, but the kaiban (a fish-shaped object) is quite large and seems to be still in use today.

",yes,Japanese,view review
Oliver Oehm,2021-01-01 05:23:25,5,0,"Quiet and rather beautiful
Not as famous as the big Zen temples in Kyoto but more authentic, IMHO",no,,view review
Kei T,2021-02-27 09:31:09,5,7," This temple was founded in the 17th century by the famous Chinese monk Ingen Ryukyu. Against this background, the Chinese Ming Dynasty style, which is rare in Kyoto, has been adopted, and its remnants can be seen everywhere. You can enjoy a slightly different atmosphere from other temples.

The entrance fee is 500 yen for adults, and I think you can fully enjoy the precincts🏃‍♂️
It's definitely worth seeing!

",yes,Japanese,view review
まりりん,2021-04-04 05:29:24,5,4," From Kyoto Station, take the JR Nara Line to Obaku Station in about 20 minutes. Manpukuji Temple, the main temple of the Obaku sect, can be seen behind Kyoto Arts High School.
It's a hidden temple, isn't it ☺️
I love this temple ♥️
It's been a long time since I've visited, but it's the kind of temple that welcomes us quietly and very kindly whenever we visit.
In the first year of the Edo period (1654), Ryūki Ingen, a Zen master who came from Fujian Province in China, was blessed by Pope Gomizunoo and Ietsuna Tokugawa, the fourth shogun of the Tokugawa shogunate, and founded the temple in 1661. It is the head temple of the Obaku sect, one of the three major Zen sects of Japan.
The temple, which incorporates the Ming Dynasty style, has the Somon, Sanmon, Tenno-do, Daiyuho-den, and Ho-do lined up in a straight line from west to east, and the various halls are arranged symmetrically, and when viewed from above, the temple is said to represent a dragon. , is called ""Dragon Garan"". Please visit Manpuku-ji Temple, which is full of highlights 🍀😌🍀

",yes,Japanese,view review
