Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Radhiyatam Mardhiyah,2016-11-10 03:08:42,4,1,"Their observatory deck is smaller than my expectation but it gave beautiful view of the entire town in all directions (360°). We bought our ticket in the Kansai Tourist Information Center and got discount price (¥600 from ¥770), and it was worth it. You can easily locate famous spots in Kyoto with their free binnocular. We went on a sunny day and got to see Osaka as well.




",yes,,view review
Paradise Walker,2017-02-04 10:25:00,5,1,"Kyoto Tower is not so tall  but has enough height to see many of the buildings in Kyoto.  My recommendation is to visit this Kyoto Tower after your sightseeing in Kyoto.   It can be fun to find out the buildings you visited from the tower.  Around sunset time can be the best time to go up to the tower.   You can enjoy both day and night views!






",yes,,view review
Benedict Uy,2017-02-14 06:31:03,4,0,"We came by just before it was closing. Since we had come from Tokyo and seen the night skyline from the skytree, the skyline of Kyoto wasn't as impressive. It was quite different seeing the orange cage around the observation deck.
What I did notice was that there were plenty of blacked out regions around the city, presumably the myriad of temples around the area. I would guess that the views during the day would be more interesting with the many temples visible from the deck.
We thought we saw the pagoda from Kiyomizudera since it was lit up. The interactive board was useful in trying to identify the places around the area.









",yes,,view review
Liz K.,2017-05-06 19:00:44,5,2,"A rainy day in Kyoto and this was perfect. A great view of the city and perfect to get your bearings before you set off to explore. The info-touchscreens at the top of the tower allow you to know what you're looking at, really nice way to get an overview of Kyoto. We also ate here - not at the top floor, but they have many different restaurants in a cafeteria-style kind of area on one of the lower floors. There's a bar at one of the higher floors that didn't look too expensive (and might be a good option to be up in the tower without paying for the observation deck, if you're not into that).


",yes,,view review
Teddy Grenman,2017-07-05 02:15:16,4,1,"Excellent view of Kyoto, binoculars are free to use and one can see multiple interesting sights (which you should visit later on), buildings, and even catch a glimpse of those Japanese bullet trains.

Unfortunately, however, most city skyline views are very similar.

Location is good, easily accessible. Visit if not very budget constrained. At the time Adults approximately ¥700 and lower for children.


",yes,,view review
Giovanni,2018-01-28 12:12:03,3,0,"Once you are at the top of the observation deck there's not much to do like any other tower in the world. I enjoyed using the free binoculars during the sunset. I think it is a good idea to come here at that time so you can also enjoy some night view.




",yes,,view review
Karol Jaskulski,2018-04-24 17:39:45,4,0,"Very nice view. There are some shops underneath. You can get yourself a photo taken an a commemorative coin. The interactive tables that tell you what are you seeing were to look are greatly helpful.











",yes,,view review
uncle em,2018-05-13 08:37:42,5,2,"While the tower is obviously dated, it offers great views of the skyline of Kyoto. If you have time, it is worth going up - especially, if you have young children, they would definitely appreciate the views.









",yes,,view review
Adam Gaffney,2018-06-28 03:14:24,4,0,"We took the bullet train to Kyoto and this was right outside the station as soon as we walked out, very convenient to get to, and completely worth your time and money if you are interested in the city of Kyoto. It gives you a complete 360° view of the city, with free stand-alone binoculars, as well as free handheld ones too for looking at specific areas. There are also screens placed at regular intervals around the observatory deck which tells you exactly where key locations to view are.
I recommend this if you like the views and are interested in learning more about the surrounding area, I would happily go back again, a lovely experience!



",yes,,view review
Milan Karia,2018-07-12 20:02:30,5,1,"Amazing views for far cheaper than Tokyo Tower, there are fixed binoculars around the observation platform that are free to use.
There are also digital interactive maps that aid in finding particular sights and provide extra information alongside traditional top down maps too.

Overall an amazing experience for a reasonable price!




",yes,,view review
Nick Rewkowski,2018-08-01 01:11:35,5,0,"Nice views of Kyoto. It's not a particularly high tower compared to others in Japan, but since all of the other buildings in Kyoto are short, you can see plenty of the other attractions in the city. The tower contains some stores, free binoculars, and stickers pointing at famous attractions. The tower is also right next to Kyoto station.







",yes,,view review
Ψ ·,2018-08-10 08:41:04,3,1,"It costs ¥700 to access the top, you have a good view of the city. I'd recommend going during the evening as the sun sets and enjoy the transition between Kyoto in the day and Kyoto at night. But it's nothing to go out of your way to visit.




",yes,,view review
Lindo Korchi,2018-08-11 03:01:01,5,0,"In one of the lower floors in Kyoto Tower, you’ll see a place dedicated to selling Japanese sweets, many of which are specific to Kyoto. Such as Yatsuhashi in a variety of flavors (strawberry, lemon, and even chocolate).

There are also these packs of small, bite sized chocolate cookies that come in two flavors. One is mattcha (green tea), and the other is regular, I believe. There’s also a yatsuhashi that is sold which is full of chocolate — including the outer layer! Good place to get some sweets in Kyoto.










",yes,,view review
Tammie Pech,2018-09-21 04:07:34,3,0,"Osaka tower was nice, good view of the city. It isn’t very tall and not much to do at the top but lots of fun shops below. It would be great if there was a nice bar or drink stand at the top.



",yes,,view review
Tobias Tölle,2018-11-07 11:43:17,5,1,"Nice view of Kyoto.
Tickets cost 770 yen, if you buy downstairs some sweets than you get a discount, so if you plan to buy some souvenirs in Kyoto buy them downstairs before you go upstairs to the tower.
The vr bungee jump is so. So

















",yes,,view review
Michelle Abad,2018-11-14 04:06:08,4,0,"We are happy to have included the Kyoto tower in our list of things to do in Kyoto. It was a delight to see, top view, the temples, shrines and castles that we had gone to prior to this visit. We recommend this too.





",yes,,view review
Jenny Rosario,2018-11-15 03:32:34,5,0,"The observation deck ticket for the Kyoto tower was only 770円 and there were restaurants underneath the tower! Plus, there is a public bath. Fun place to check out and take pics.



",yes,,view review
