Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Tim S,2015-01-12 01:31:13,5,0,A very energetic and beautiful site,no,,view review
Randall G,2016-01-26 16:43:24,5,0,"Beautiful, Peaceful, Serene. I'd never even thought about Japan having a WW2 Memorial,  though it seems obvious in hindsight. I recommend it.",no,,view review
Dev Sathe,2016-07-31 08:52:50,5,1,Beautiful and peaceful. Definitely worth a stop while en route to Kiyomizu-dera,no,,view review
Brandon Zoras,2016-08-08 02:27:56,5,2,For 300 yen to enter it was really nice. You get an incense to place down. The giant Buddha is really nice and there are a lot of small buildings around. You can go inside the main temple from the stairs at the back to see a lot more statues/icons. To the back right side there is a world war 2 memorial as well for the unknown solider and it has names of lots of other country's soldiers who passed during the war. There is also containers of sand from the different countries involved in the war. A nice place to see.,no,,view review
뿡핑룡아빠,2016-08-17 05:20:11,3,0,"Hm... Honestly.. Not that special.
Although huge Buddha statue looked nice, I think that is all.
If you have enough time, stop by here.
If not, I recommend to go to Kodaiji.",no,,view review
Enrique Luis Alva,2016-09-25 17:52:56,4,1,A quite expensive but it worth it if you enter on the big buda and see everything around.,no,,view review
Chibi Bot,2016-10-20 02:20:43,5,0,Its viewable from afar,no,,view review
Bartek Borawski,2016-10-22 14:37:13,3,0,A huge statue of Buddha.,no,,view review
Matt Short,2016-10-26 11:15:33,4,0,Worth a visit to see the giant Buddha. It was nice to get an incense stick on entry. You can also go inside the giant Buddha.,no,,view review
YewJin Lee,2017-01-02 14:33:24,3,0,Somewhat neglected by most tourists.,no,,view review
Gert-Jan Hartog,2017-01-14 09:06:43,4,0,"Nice quiet place with a huge bouddha in honour of the unknown soldiers of the Second World War. Not in a mint condition but worth a quick visit. Entrance ¥300.
",yes,,view review
Yen Ngo,2017-03-23 15:12:03,3,0,"A recently built war memorial of Japanese soldiers. Quite scenic but not much interesting for history seekers though







",yes,,view review
Gonzalo Gossweiler,2017-06-03 20:48:52,4,1,A 1955 war memorial commemorating the dead of the Pacific War.,no,,view review
David C. Alvarez Charris,2017-06-10 16:52:27,5,0,"I loved this temple because of the magrstic buddah sculpture, definitely worth visiting",no,,view review
