Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Daniel Tsai,2016-12-18 16:00:58,4,1,"Interesting temple for academics. Less touristy than other temples.



",yes,,view review
François Marquis,2017-05-25 04:59:16,5,2,"Each 25th of each month, there is a big flea market here. Nice spot to eat local food and maybe spot some nice antiques... Btw, I just ate there one of the best takoyaki ever. A wonder.

",yes,,view review
Eug C,2018-01-28 04:08:53,5,1,"It is a must to visit the flea market on every 25th of the month. The takoyaki and xiao long bao nearest to the shrine is delicious. There are also other seasonal foods, vintage & antique products/clothes & handmade items for sales.






",yes,,view review
Hien Ngo,2018-03-04 09:06:43,5,0,"A very nice place but not so crowded when i was here. You can enter either by the front or back door. Had some peaceful time here.









",yes,,view review
Abbey Schott,2018-03-20 04:24:50,5,0,"Large flea market held on the 25th of every month. Found some amazing ceramics, cheap kimonos and delicious pork buns.




",yes,,view review
James DeLisle,2018-04-21 23:18:15,5,0,"A beautiful area espically in the morning very quiet and serene!










",yes,,view review
Carole Wang,2018-04-30 23:22:37,5,0,"Beautiful shrine with a lot of plum blossoms. Definitely visit here during plum blossom season (March).



",yes,,view review
Neil - The Backpack Adventures,2018-05-22 12:47:16,5,2,"Although I'm no student, I still enjoyed touring around the vicinity of Kitano Tenmangu shrine. I think this is the student's version of Fushimi Inari Taisha. It wouldn't be a surprise to see hundreds of students here. :) Particularly during exam week.






",yes,,view review
Svenja Abel,2018-06-05 15:29:06,5,0,"It's a very impressive place. There were many people (especially students) when I went there but I could still see everything. In the area around the main shrine there are less people. You should definitely go around since the garden is very pretty too^^








",yes,,view review
Alessandro de Bellegarde,2018-06-06 18:24:30,5,0,"Beautiful hidden shrine. The flea market every month on the 25th is a must see. New Year’s celebrations are a sight to behold. Highly recommend taking a moment to explore and reflect.

",yes,,view review
Kai He,2018-08-08 06:29:50,5,0,"I highly recommend the light-up event in April.  2018 was the first time, but I assume it will continue every year.









",yes,,view review
Jacky Choy,2018-11-19 18:10:41,5,4,"It seems that not many reviewers had visit this shrine at night? There is a light-up event in November - December every year. (Pls the check the official website for the exact date when you visit) the entry fee is only 800yen. Definitely worth it! You will be allowed to walk around in the garden, they arrange many lights along the path so that you can see the beautiful red leaves!! And the price includes hot tea and japanese sweet snack. You can relax and rest with friends in outdoor teahouse at the end of the walk. (Fyr, I visited the place on 15.11.2018. And there is a mixture of red and green leaves)







",yes,,view review
箏花洛koto karaku,2019-01-31 00:44:33,5,0,"When entering from the east gate, there are few people and it is quiet and good atmosphere. Plum blossoms are starting to bloom.
",yes,,view review
ne lynn,2019-02-14 14:48:10,5,0,"A must in the list. Popular with students who pray there for success in exams.





",yes,,view review
Ian Gore,2019-02-21 06:50:20,5,0,"This has to be one of the most impressive shrines I've ever seen. Everything is in the superb condition and the grounds are beautifully maintained. I can think of no flaw to point out, I wish I had had more time to explore and see it.









",yes,,view review
kevin k,2019-02-23 00:41:40,5,0,"Beautiful during plum blossom season, not sure if I would recommend otherwise. There are thousands of plum trees to but only a few leading to the shrine. To enter the plum groove as of February 2019 there is a cost of 800 yen which is a bit pricy.




",yes,,view review
Jean (Kyoto Local),2019-03-03 02:07:48,5,0,"Beautiful! Came the day of the festival. They had a nice flea market out as well.







",yes,,view review
Naomi Dukes,2019-03-09 01:48:16,5,0,"A magical place everyone should go to during Ume plum season. The man who built this place was a huge fan of Ume season and that’s why there are trees EVERYWHERE. This place is stunning from every possible aspect. If you’re in Kyoto in March this is a must.





",yes,,view review
Min-Hua Maggie Li,2019-03-09 11:23:26,5,0,"Plum flowers are just stunning here. I took those photos on 3/2. They are having light up in the weekend nights.









",yes,,view review
