Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Katie Cullen,2016-08-05 00:33:17,5,1,"Beautiful place to visit, my partner and I went in the off-season so the lotus and hydrangea weren't blooming, but the gardens were alive with autumn colours! No matter when you're visiting, this is worth the trip.",no,,view review
Julie Wang,2016-11-13 07:47:34,5,0,Breath-taking landscape,no,,view review
Yu Water,2016-11-29 13:43:51,4,0,Very beautiful Japanese style garden with falling red leave.,no,,view review
Tess Detablan (D'littleMe),2017-02-15 06:04:35,5,0,"Tranquil place to enjoy nature specially flowers and colors of falls




",yes,,view review
Mohammed Hajjaj,2017-07-02 04:25:20,5,0,"Beautiful area, many kind types of flowers :)",no,,view review
Kitty Kitty,2017-07-12 02:52:45,4,0,Pretty lotus flowers and hydrangeas in the summer,no,,view review
Sean101,2018-05-06 09:04:13,4,1,"Nice view.
",yes,,view review
Youki Takei,2018-06-21 08:57:19,4,0,"A nice temple with many buddhism stuff to explore. When in the season, you can see many beautiful flowers. This temple is very massive, and you can explore a lot. The access to this place is bad, not many taxi nor bus.

",yes,,view review
Neslie,2018-07-21 13:05:47,5,0,I enjoyed the beauty of Hydrangea,no,,view review
Wong Jesper,2018-08-15 00:01:21,5,0,"Nice place for photos shooting






",yes,,view review
Nguyen Hoang,2018-09-10 15:22:06,5,0,"This is a old temple with a big garden, beautiful landscape, and attractive architecture. You will see specific flowers and colors every season. I was very impressed with the expansive and lovely garden here, especially hydrangeas in all their many splendoured colours and varieties.",no,,view review
the_ hanna15,2018-09-27 14:02:10,5,0,"This is a great place to visit on middle of June.
The hydrangea bloom so beautifully when I visited the shrine. Only the local Japanese visit and not much tourist know about this place. Do not forget to try the macha ice which is good for the long walk.













",yes,,view review
Saiki Lau,2018-11-11 04:41:05,5,0,Good place for relaxing and photo taking.,no,,view review
Marta Philippe,2019-05-24 10:32:51,5,0,"A nice little temple surrounded by a gorgeous flower garden. Also, very few visitors, we had the place almost for ourselves.",no,,view review
Maximilian Philippi,2019-06-02 06:16:13,5,0,"Totally worth, if you are around Uji. I liked the temple grounds more than Byodo In.",no,,view review
tess Liu,2019-06-06 05:35:15,4,0,Beautiful temple and wonderful view,no,,view review
alan chong,2019-06-09 05:07:19,5,0,"Lovely place. Not your usual tourist spot. U can tell the locals are the ones visiting this place. Although we only went there during early June, some flowers was on bloom. May want to plan ahead to ensure u get full bloom during summer time.



",yes,,view review
Nazrah,2019-06-15 13:46:25,4,0,You need to walk around 1km ish to reach to this place. It's really green and from the forest behind the temple. It's the weekend! A charge of 800 yen by the entry.,no,,view review
SH W,2019-06-22 08:11:05,5,1,"Such a wonderful Temple with a huge garden of hydrangeas! (But I came here too early! Middle of June will be the best time)




",yes,,view review
David Wilson,2019-07-07 13:46:21,3,0,Very overpriced for what is a medicore temple.,no,,view review
Anja,2019-07-08 23:55:29,5,0,"I went there a little late ago most of the hydrangeas were already withered.
But the ones remaining were very beautiful and they bloomed in that many different colors 😍💐


",yes,,view review
ping yong,2019-07-15 03:40:14,3,0,"famous for summer Hydrangea season, but not much during our visit, maybe due to lack of rain.. the temple is on the mountain, need to go thru some stairs to get there. there is a cow, snake with old lady head & rabbit bronze status, touching them for good luck, fortune & good career respectively. but we missed that, busy taking photo..
",yes,,view review
Ana Lusanta,2019-07-24 09:23:12,4,0,The hydrangea garden is not beautiful anymore. Many of the flowers had withered.,no,,view review
John Liang,2019-08-14 01:07:12,5,0,"Not many ppl, taxi the best way to go from JR Uji.

the place itself though is beautiful and scenic... would love to go back and just stroll around.. (AVOID THIS PLACE IN PEAK SUMMER!!!!)",no,,view review
H,2019-08-25 23:34:14,5,0,Beautiful temple and flower garden. Not the easiest to get too,no,,view review
Serene Soh,2019-11-22 03:30:26,5,0,"Its a long walk up but was worth it .. the maple trees are so beautiful at this period of the year i guess we were lucky as well ;) .. but i think they are popular for thier hydrangea flower during April or May .. will definitly visit again if i jave the chance :)













",yes,,view review
Owasiul Islam,2019-12-05 14:39:26,5,0,"Awesome place






",yes,,view review
Wong Al,2019-12-07 07:41:05,4,0,"It's a nice place to take pictures even on overcast day, the long walk is all worth it.









",yes,,view review
Jon Tate,2020-02-21 10:41:52,4,0,The heart shaped hydrangeas are famous. They have nighttime light up events too.,no,,view review
Jin Yang,2020-02-23 15:34:37,5,0,"Not only Hydrangea (AJISAI) viewing, It's also a good place for maple viewing",no,,view review
Nickiyanto Halim,2020-06-20 10:31:36,4,0,"Nice place to visit if you love hydrangea





",yes,,view review
Kazutaka Iwai,2020-06-28 08:41:21,5,0,"Amazing flower temple.







































",yes,,view review
