Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
Patrik Jurčišin,2017-04-29 05:31:12,5,0,"Entrance fee apply Adults ¥600, High School Students ¥400.

To be honest after you pay to get in, you walk around temple and you also can visit museum which is pretty nice. But there is additional fee if you want to go inside the temple ! There is every 15 min tour. I am not sure if you can take pictures inside probably not.


",yes,,view review
frosty to,2017-07-18 23:25:27,4,0,"Tea House in Byodoin Temple, gyokuro served by the tea master for appreciation. Has a subtle sweet tea as opposed to the usual green tea you drink. It is a nice peaceful walk through Byodoin Temple with views of some historic arts. Worth a visit if you are in the area. Uji is known for its green tea






",yes,,view review
Ali Low,2017-11-05 13:20:05,5,2,"A stunning temple a short train journey south of Kyoto.  The symmetric main building is featured on the 10 yen coin.  The entrance fee includes access to the museum which houses some really stunning Buddhist artefacts and is well worth seeing.  For a separate fee you can visit the inside of the main building as part of an about 15 minute tour (in Japanese only).  You purchase a ticket for a timed entry and when I visited we had to wait about 50 minutes before our time.  Probably it's not really worth paying to see the inside.
If possible I'd recommend visiting in the morning when the sun will be behind you when photographing the main building as the lighting was challenging when I visited in the afternoon.







",yes,,view review
M. D.,2018-01-03 01:53:40,5,2,"I really like this temple.  It's the symmetry and its somewhat minimalist design that attracts me.  One of the most interesting temples to visit in Japan.  It's a bit far out from Kyoto, but there's a train, which makes it less inconvenient.  If you're planning to visit Kyoto, I recommend that you make a visit to Byodoin.



",yes,,view review
Kiroku Klite,2018-03-23 14:08:52,5,0,"If you want to see ""A real of Temple in 10 Yen Coin"", this place is the real. This is my first time when I came Uji. The place have a lot part of history and delicious green-tea around the area.








",yes,,view review
Han San Lim,2018-04-08 13:55:21,5,0,"Beautiful temple and the main building called Phoenix Hall is also open to public but you need a separate ticket for it and they only allow in 50 visitor at a time. Best is buy the Phoenix Hall ticket as soon as you arrive and the take the time to visit the ground and the museum which is nicely done. The museum is actually built on modern style and into the slope so make the ground floor museum feels like it is subterranean.





",yes,,view review
Todd Hooper,2018-09-17 09:45:27,5,0,"This temple is the one that can be found on the back of the 10 yen coin.  It's beautifully maintained.  The highlight is the adjacent museum (included in admission) that shows off the delicate wood carvings from the temple.




",yes,,view review
Nick M,2018-11-14 16:51:46,5,1,"A short train trip south of Kyoto will bring you to Uji, home of Byodoin.  If you have a 10 yen coin, you'll have seen it before.

There is a small museum on site, that is of some interest.  Toilets are also to be found, which is always handy.

The temple itself is very attractive.  You are able to enter into the hall as part of a guided group.  Wear nice socks, because you'll be required to take your shoes off if venturing inside.

",yes,,view review
Anne W,2018-12-12 03:22:56,5,0,"It was on the back of 10yen. The real place is stunning and surrounded by the pond and trees. Reflecting of this temple from the water is my favorite pictures. The museum is well thought,it behinds the temple but underground. So it will not interrupt your scenario at all.













",yes,,view review
Christian Schell,2019-04-16 11:50:28,5,0,"museum is closing at 5 pm. garden at 5.30 pm. come late. not that many chinese tourists then. entrance fee 600 yen per adult. also the museum was nice to see



",yes,,view review
